dataset_id,dataset_name,model,instances,features,processed_features,n_classes,train_val_accuracy,train_val_auc_ovo,train_val_cross_entropy,test_accuracy,test_auc_ovo,test_cross_entropy,time,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,num_leaves,min_child_samples,min_split_gain,reg_alpha,reg_lambda,feature_fraction,bagging_fraction,bagging_freq,bootstrap_type,iterations,depth,l2_leaf_reg,random_strength,od_wait,bagging_temperature,C,kernel,probability
1049,pc4,xgb,1458.0,38.0,37,2,0.9957118353344768,0.9996836487676056,0.04854000926423713,0.9212328767123288,0.9403211805555556,0.22072642853352867,0.4900190830230713,1338.0,7.0,,,,,0.27707261367287184,0.9944790913889422,0.8280364040281113,7.0,0.29528264514314095,,,,,,,,,,,,,,,,,,
1049,pc4,lgb,1458.0,38.0,37,2,1.0,1.0,0.002522782354077898,0.9212328767123288,0.9365234375,0.3380275798528522,0.25675439834594727,1528.0,12.0,,,,,0.1187561109266472,0.6349601791718045,0.5035169217916959,0.6894054663208478,,131.0,65.0,0.013871626114452744,0.00010752372273249852,1.3064424422790472e-08,0.8745736374775738,0.880891544529028,1.0,,,,,,,,,,
1049,pc4,cat,1458.0,38.0,37,2,1.0,1.0,0.00017969629327062338,0.9178082191780822,0.9536675347222222,0.3810001628035524,0.7637834548950195,,,,,,,0.07615350084193345,,,,,,,,,,,,,Bernoulli,705.0,4.0,7.969964899329066e-06,0.00029281809286263466,42.0,,,,
1049,pc4,svm,1458.0,38.0,37,2,0.9605488850771869,0.9948352222711268,0.12227764919352925,0.9006849315068494,0.849609375,0.26752383377146594,0.18761181831359863,,,,,,,,,,,4.42982574751018,,,,,,,,,,,,,,,,9.331230712032015,rbf,True
23,cmc,rf,1473.0,10.0,24,3,0.5857385398981324,0.7652689363882824,0.8776516203718673,0.5796610169491525,0.7374731290610519,0.9073671281543804,1.355100154876709,711.0,4.0,13.0,10.0,,True,,,,,,,,,,,,,,,,,,,,,,,
23,cmc,xgb,1473.0,10.0,24,3,0.6273344651952462,0.8135300556423136,0.7953690574712378,0.576271186440678,0.751120708001558,0.8858717244546483,0.6353945732116699,1668.0,20.0,,,,,0.08184665785067578,0.7935284475489652,0.752893069930794,9.0,1.229291297053459,,,,,,,,,,,,,,,,,,
23,cmc,lgb,1473.0,10.0,24,3,0.5713073005093379,0.747234771309287,0.9057671351964653,0.5728813559322034,0.7326390999944965,0.9257292575723549,0.4032933712005615,1639.0,8.0,,,,,0.0038243087578941873,0.9469699661053262,0.7668765928638386,10.774543050825063,,111.0,147.0,0.997727269025738,1.5524041964459388e-06,8.501910311937137e-08,0.7389407177833606,0.7843376011971916,7.0,,,,,,,,,,
23,cmc,cat,1473.0,10.0,24,3,0.6544991511035654,0.838917736604176,0.7585504561126221,0.5830508474576271,0.7464650469345341,0.8893541448877721,0.2526276111602783,,,,,,,0.04954620678737371,,,,,,,,,,,,,MVS,305.0,3.0,0.00010474747635829541,0.004945782692856222,39.0,,,,
23,cmc,svm,1473.0,10.0,24,3,0.5263157894736842,0.7051254554868595,0.9541234476933705,0.511864406779661,0.7012238220188995,0.959619469780157,0.49891161918640137,,,,,,,,,,,0.7429657186314252,,,,,,,,,,,,,,,,7.282017232098917,linear,True
1050,pc3,rf,1563.0,38.0,37,2,0.9672,0.9984576927361853,0.1023721768593051,0.8913738019169329,0.8139457295373665,0.2762107068218337,1.5517795085906982,529.0,20.0,7.0,5.0,sqrt,False,,,,,,,,,,,,,,,,,,,,,,,
1050,pc3,xgb,1563.0,38.0,37,2,0.9944,0.9977335394385027,0.04842358247738652,0.8945686900958466,0.74288256227758,0.3809186636528816,0.25271153450012207,426.0,9.0,,,,,0.2929011928269285,0.8591554456408872,0.5343378043721188,8.0,0.005326694714867269,,,,,,,,,,,,,,,,,,
1050,pc3,lgb,1563.0,38.0,37,2,0.9952,0.9991435494652406,0.04676228912858309,0.8945686900958466,0.7851423487544483,0.35399267739894175,0.21729207038879395,762.0,15.0,,,,,0.03571758601861605,0.9941550639015886,0.9176393603493498,1.0753328835614322,,99.0,98.0,0.02152331320141865,0.2858231292929042,0.001267410027281292,0.6803811520331792,0.8284521526875519,4.0,,,,,,,,,,
1050,pc3,cat,1563.0,38.0,37,2,0.9976,0.9999617034313726,0.0041841634576784414,0.8945686900958466,0.802491103202847,0.9860640509101597,2.5104081630706787,,,,,,,0.1369593533320662,,,,,,,,,,,,,Bernoulli,938.0,7.0,7.725479109531354e-08,1.8051263930712003,28.0,,,,
1050,pc3,svm,1563.0,38.0,37,2,0.8976,0.6466375612745099,0.32336801670729937,0.8977635782747604,0.7184163701067615,0.3192830026727214,0.11245203018188477,,,,,,,,,,,0.028405609370007894,,,,,,,,,,,,,,,,0.007282230598647509,rbf,True
40975,car,rf,1728.0,7.0,21,4,0.9963820549927641,0.9999834443328638,0.04377267457861216,0.9826589595375722,0.9991291770062132,0.060624002922735766,3.0700409412384033,1614.0,15.0,5.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,
40975,car,xgb,1728.0,7.0,21,4,1.0,1.0,0.016820765277040763,0.9942196531791907,0.9999917537358419,0.038072650527420995,3.5578339099884033,1502.0,16.0,,,,,0.020917606242842588,0.765793249183946,0.6746020644368353,1.0,0.04375204212757092,,,,,,,,,,,,,,,,,,
40975,car,lgb,1728.0,7.0,21,4,1.0,1.0,0.0037089602441952862,0.9971098265895953,0.9999186747741661,0.016174215631505378,0.40109682083129883,664.0,6.0,,,,,0.11639957093232552,0.6330811978927143,0.8567665654992155,0.20672735774520043,,140.0,66.0,0.0037838345654120456,3.869669518663462e-06,0.0001444481459623771,0.8591732377477268,0.9163850755662117,2.0,,,,,,,,,,
40975,car,cat,1728.0,7.0,21,4,1.0,1.0,0.003543267853229747,1.0,1.0,0.007618053191698957,0.4999415874481201,,,,,,,0.2131660575449276,,,,,,,,,,,,,MVS,355.0,3.0,0.006972362770746911,1.2614060035351397e-05,20.0,,,,
40975,car,svm,1728.0,7.0,21,4,0.9421128798842258,0.9924023206230336,0.14434761928914266,0.9450867052023122,0.9903385063001459,0.14737579801257597,0.13247132301330566,,,,,,,,,,,0.15573643705581539,,,,,,,,,,,,,,,,3.8292692031467026,linear,True
40982,steel-plates-fault,rf,1941.0,28.0,27,7,1.0,1.0,0.14649014774098665,0.8020565552699229,0.9601833699852453,0.6243774720649183,24.108940362930298,1408.0,37.0,3.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,
40982,steel-plates-fault,xgb,1941.0,28.0,27,7,1.0,1.0,0.019471322414643482,0.7994858611825193,0.960330596440627,0.5637733210841387,4.847810983657837,1805.0,18.0,,,,,0.09873141213598689,0.9217018630839168,0.6530317134448189,2.0,0.04541370079942833,,,,,,,,,,,,,,,,,,
40982,steel-plates-fault,lgb,1941.0,28.0,27,7,1.0,1.0,0.0013696299998372035,0.8020565552699229,0.9617653592799558,0.6906811171563848,2.3434324264526367,400.0,22.0,,,,,0.017445156716143818,0.5631508154981247,0.5895279122436488,0.00865827485798505,,52.0,5.0,0.0031726326177638885,3.1040860595964826e-07,2.5009222332506867e-08,0.969797317685907,0.9391552994129218,4.0,,,,,,,,,,
40982,steel-plates-fault,cat,1941.0,28.0,27,7,0.9993556701030928,1.0,0.06281062907284181,0.8200514138817481,0.9628973350440856,0.5056061145756956,53.99416637420654,,,,,,,0.06456565186501237,,,,,,,,,,,,,Bernoulli,681.0,9.0,3.592304933537453,2.4332578437800455e-08,10.0,,,,
40982,steel-plates-fault,svm,1941.0,28.0,27,7,0.8524484536082474,0.9803371766372041,0.4274367806638333,0.7583547557840618,0.9429642470184693,0.649870832708994,0.5560228824615479,,,,,,,,,,,0.8982740729242679,,,,,,,,,,,,,,,,3.339675482415222,rbf,True
